"filename", "language", "Haskell", "C", "C++", "comment", "blank", "total"
"/home/darth/EMQX/clickhouse-haskell/src/ClickHouseDriver/CBits/bigint.c", "C", 0, 36, 0, 0, 5, 41
"/home/darth/EMQX/clickhouse-haskell/src/ClickHouseDriver/CBits/datetime.c", "C", 0, 45, 0, 0, 4, 49
"/home/darth/EMQX/clickhouse-haskell/src/ClickHouseDriver/CBits/varuint.c", "C", 0, 57, 0, 3, 5, 65
"/home/darth/EMQX/clickhouse-haskell/src/ClickHouseDriver/Core.hs", "Haskell", 12, 0, 0, 0, 2, 14
"/home/darth/EMQX/clickhouse-haskell/src/ClickHouseDriver/Core/Block.hs", "Haskell", 115, 0, 0, 16, 10, 141
"/home/darth/EMQX/clickhouse-haskell/src/ClickHouseDriver/Core/Client.hs", "Haskell", 244, 0, 0, 63, 39, 346
"/home/darth/EMQX/clickhouse-haskell/src/ClickHouseDriver/Core/ClientProtocol.hs", "Haskell", 36, 0, 0, 14, 18, 68
"/home/darth/EMQX/clickhouse-haskell/src/ClickHouseDriver/Core/Column.hs", "Haskell", 841, 0, 0, 99, 62, 1002
"/home/darth/EMQX/clickhouse-haskell/src/ClickHouseDriver/Core/Connection.hs", "Haskell", 413, 0, 0, 39, 22, 474
"/home/darth/EMQX/clickhouse-haskell/src/ClickHouseDriver/Core/Defines.hs", "Haskell", 62, 0, 0, 28, 41, 131
"/home/darth/EMQX/clickhouse-haskell/src/ClickHouseDriver/Core/Error.hs", "Haskell", 419, 0, 0, 10, 375, 804
"/home/darth/EMQX/clickhouse-haskell/src/ClickHouseDriver/Core/HTTP.hs", "Haskell", 34, 0, 0, 0, 1, 35
"/home/darth/EMQX/clickhouse-haskell/src/ClickHouseDriver/Core/HTTP/Client.hs", "Haskell", 214, 0, 0, 33, 32, 279
"/home/darth/EMQX/clickhouse-haskell/src/ClickHouseDriver/Core/HTTP/Connection.hs", "Haskell", 68, 0, 0, 8, 9, 85
"/home/darth/EMQX/clickhouse-haskell/src/ClickHouseDriver/Core/HTTP/Helpers.hs", "Haskell", 72, 0, 0, 9, 12, 93
"/home/darth/EMQX/clickhouse-haskell/src/ClickHouseDriver/Core/HTTP/Types.hs", "Haskell", 34, 0, 0, 5, 8, 47
"/home/darth/EMQX/clickhouse-haskell/src/ClickHouseDriver/Core/Pool.hs", "Haskell", 50, 0, 0, 15, 3, 68
"/home/darth/EMQX/clickhouse-haskell/src/ClickHouseDriver/Core/QueryProcessingStage.hs", "Haskell", 7, 0, 0, 0, 4, 11
"/home/darth/EMQX/clickhouse-haskell/src/ClickHouseDriver/Core/ServerProtocol.hs", "Haskell", 48, 0, 0, 15, 18, 81
"/home/darth/EMQX/clickhouse-haskell/src/ClickHouseDriver/Core/Types.hs", "Haskell", 280, 0, 0, 31, 33, 344
"/home/darth/EMQX/clickhouse-haskell/src/ClickHouseDriver/IO/BufferedReader.hs", "Haskell", 153, 0, 0, 24, 37, 214
"/home/darth/EMQX/clickhouse-haskell/src/ClickHouseDriver/IO/BufferedWriter.hs", "Haskell", 102, 0, 0, 12, 26, 140
"/home/darth/EMQX/clickhouse-haskell/src/ClickHouseDriver/Include/bigint.h", "C++", 0, 0, 9, 0, 4, 13
"/home/darth/EMQX/clickhouse-haskell/src/ClickHouseDriver/Include/datetime.h", "C++", 0, 0, 7, 0, 4, 11
"/home/darth/EMQX/clickhouse-haskell/src/ClickHouseDriver/Include/varuint.h", "C++", 0, 0, 9, 0, 3, 12
"Total", "-", 3204, 138, 25, 424, 777, 4568
