"filename", "language", "JSON", "HTML", "JavaScript", "CSS", "comment", "blank", "total"
"/home/darth/EMQX/clickhouse-haskell/doc/html/clickhouse-haskell/doc-index-W.html", "HTML", 0, 1, 0, 0, 0, 0, 1
"/home/darth/EMQX/clickhouse-haskell/doc/html/clickhouse-haskell/doc-index-Y.html", "HTML", 0, 1, 0, 0, 0, 0, 1
"/home/darth/EMQX/clickhouse-haskell/doc/html/clickhouse-haskell/doc-index.html", "HTML", 0, 1, 0, 0, 0, 0, 1
"/home/darth/EMQX/clickhouse-haskell/doc/html/clickhouse-haskell/doc-index.json", "JSON", 1, 0, 0, 0, 0, 0, 1
"/home/darth/EMQX/clickhouse-haskell/doc/html/clickhouse-haskell/haddock-bundle.min.js", "JavaScript", 0, 0, 1, 0, 1, 1, 3
"/home/darth/EMQX/clickhouse-haskell/doc/html/clickhouse-haskell/index.html", "HTML", 0, 1, 0, 0, 0, 0, 1
"/home/darth/EMQX/clickhouse-haskell/doc/html/clickhouse-haskell/meta.json", "JSON", 1, 0, 0, 0, 0, 0, 1
"/home/darth/EMQX/clickhouse-haskell/doc/html/clickhouse-haskell/ocean.css", "CSS", 0, 0, 0, 491, 35, 122, 648
"/home/darth/EMQX/clickhouse-haskell/doc/html/clickhouse-haskell/quick-jump.css", "CSS", 0, 0, 0, 126, 6, 33, 165
"/home/darth/EMQX/clickhouse-haskell/doc/html/clickhouse-haskell/quick-jump.min.js", "JavaScript", 0, 0, 1, 0, 1, 1, 3
"/home/darth/EMQX/clickhouse-haskell/doc/html/clickhouse-haskell/src/ClickHouseDriver.Core.Block.html", "HTML", 0, 143, 0, 0, 0, 0, 143
"/home/darth/EMQX/clickhouse-haskell/doc/html/clickhouse-haskell/src/ClickHouseDriver.Core.Client.html", "HTML", 0, 346, 0, 0, 0, 0, 346
"/home/darth/EMQX/clickhouse-haskell/doc/html/clickhouse-haskell/src/ClickHouseDriver.Core.ClientProtocol.html", "HTML", 0, 68, 0, 0, 0, 0, 68
"/home/darth/EMQX/clickhouse-haskell/doc/html/clickhouse-haskell/src/ClickHouseDriver.Core.Column.html", "HTML", 0, 995, 0, 0, 0, 4, 999
"/home/darth/EMQX/clickhouse-haskell/doc/html/clickhouse-haskell/src/ClickHouseDriver.Core.Connection.html", "HTML", 0, 556, 0, 0, 0, 0, 556
"/home/darth/EMQX/clickhouse-haskell/doc/html/clickhouse-haskell/src/ClickHouseDriver.Core.Defines.html", "HTML", 0, 131, 0, 0, 0, 0, 131
"/home/darth/EMQX/clickhouse-haskell/doc/html/clickhouse-haskell/src/ClickHouseDriver.Core.Error.html", "HTML", 0, 804, 0, 0, 0, 0, 804
"/home/darth/EMQX/clickhouse-haskell/doc/html/clickhouse-haskell/src/ClickHouseDriver.Core.HTTP.Client.html", "HTML", 0, 279, 0, 0, 0, 0, 279
"/home/darth/EMQX/clickhouse-haskell/doc/html/clickhouse-haskell/src/ClickHouseDriver.Core.HTTP.Connection.html", "HTML", 0, 81, 0, 0, 0, 0, 81
"/home/darth/EMQX/clickhouse-haskell/doc/html/clickhouse-haskell/src/ClickHouseDriver.Core.HTTP.Helpers.html", "HTML", 0, 94, 0, 0, 0, 0, 94
"/home/darth/EMQX/clickhouse-haskell/doc/html/clickhouse-haskell/src/ClickHouseDriver.Core.HTTP.Types.html", "HTML", 0, 46, 0, 0, 0, 0, 46
"/home/darth/EMQX/clickhouse-haskell/doc/html/clickhouse-haskell/src/ClickHouseDriver.Core.HTTP.html", "HTML", 0, 35, 0, 0, 0, 0, 35
"/home/darth/EMQX/clickhouse-haskell/doc/html/clickhouse-haskell/src/ClickHouseDriver.Core.Pool.html", "HTML", 0, 68, 0, 0, 0, 0, 68
"/home/darth/EMQX/clickhouse-haskell/doc/html/clickhouse-haskell/src/ClickHouseDriver.Core.QueryProcessingStage.html", "HTML", 0, 11, 0, 0, 0, 0, 11
"/home/darth/EMQX/clickhouse-haskell/doc/html/clickhouse-haskell/src/ClickHouseDriver.Core.ServerProtocol.html", "HTML", 0, 81, 0, 0, 0, 0, 81
"/home/darth/EMQX/clickhouse-haskell/doc/html/clickhouse-haskell/src/ClickHouseDriver.Core.Types.html", "HTML", 0, 339, 0, 0, 0, 0, 339
"/home/darth/EMQX/clickhouse-haskell/doc/html/clickhouse-haskell/src/ClickHouseDriver.Core.html", "HTML", 0, 14, 0, 0, 0, 0, 14
"/home/darth/EMQX/clickhouse-haskell/doc/html/clickhouse-haskell/src/ClickHouseDriver.IO.BufferedReader.html", "HTML", 0, 215, 0, 0, 0, 0, 215
"/home/darth/EMQX/clickhouse-haskell/doc/html/clickhouse-haskell/src/ClickHouseDriver.IO.BufferedWriter.html", "HTML", 0, 139, 0, 0, 0, 0, 139
"/home/darth/EMQX/clickhouse-haskell/doc/html/clickhouse-haskell/src/Paths_clickhouse_haskell.html", "HTML", 0, 51, 0, 0, 0, 0, 51
"/home/darth/EMQX/clickhouse-haskell/doc/html/clickhouse-haskell/src/highlight.js", "JavaScript", 0, 0, 23, 0, 0, 5, 28
"/home/darth/EMQX/clickhouse-haskell/doc/html/clickhouse-haskell/src/style.css", "CSS", 0, 0, 0, 42, 0, 14, 56
"Total", "-", 2, 4550, 25, 659, 43, 180, 5459
