"filename", "language", "C++", "Haskell", "C", "comment", "blank", "total"
"/home/darth/EMQX/clickhouse-haskell-1/src/ClickHouseDriver/CBits/varuint.c", "C", 0, 0, 57, 3, 5, 65
"/home/darth/EMQX/clickhouse-haskell-1/src/ClickHouseDriver/Core.hs", "Haskell", 0, 11, 0, 0, 1, 12
"/home/darth/EMQX/clickhouse-haskell-1/src/ClickHouseDriver/Core/Block.hs", "Haskell", 0, 95, 0, 3, 17, 115
"/home/darth/EMQX/clickhouse-haskell-1/src/ClickHouseDriver/Core/Client.hs", "Haskell", 0, 89, 0, 12, 18, 119
"/home/darth/EMQX/clickhouse-haskell-1/src/ClickHouseDriver/Core/ClientProtocol.hs", "Haskell", 0, 23, 0, 7, 19, 49
"/home/darth/EMQX/clickhouse-haskell-1/src/ClickHouseDriver/Core/Column.hs", "Haskell", 0, 309, 0, 59, 24, 392
"/home/darth/EMQX/clickhouse-haskell-1/src/ClickHouseDriver/Core/Connection.hs", "Haskell", 0, 344, 0, 13, 24, 381
"/home/darth/EMQX/clickhouse-haskell-1/src/ClickHouseDriver/Core/Defines.hs", "Haskell", 0, 34, 0, 20, 32, 86
"/home/darth/EMQX/clickhouse-haskell-1/src/ClickHouseDriver/Core/Error.hs", "Haskell", 0, 410, 0, 1, 7, 418
"/home/darth/EMQX/clickhouse-haskell-1/src/ClickHouseDriver/Core/HTTP.hs", "Haskell", 0, 8, 0, 0, 1, 9
"/home/darth/EMQX/clickhouse-haskell-1/src/ClickHouseDriver/Core/HTTP/Client.hs", "Haskell", 0, 183, 0, 21, 27, 231
"/home/darth/EMQX/clickhouse-haskell-1/src/ClickHouseDriver/Core/HTTP/Connection.hs", "Haskell", 0, 29, 0, 3, 9, 41
"/home/darth/EMQX/clickhouse-haskell-1/src/ClickHouseDriver/Core/HTTP/Helpers.hs", "Haskell", 0, 62, 0, 3, 10, 75
"/home/darth/EMQX/clickhouse-haskell-1/src/ClickHouseDriver/Core/HTTP/Types.hs", "Haskell", 0, 18, 0, 0, 5, 23
"/home/darth/EMQX/clickhouse-haskell-1/src/ClickHouseDriver/Core/QueryProcessingStage.hs", "Haskell", 0, 4, 0, 0, 4, 8
"/home/darth/EMQX/clickhouse-haskell-1/src/ClickHouseDriver/Core/ServerProtocol.hs", "Haskell", 0, 37, 0, 14, 16, 67
"/home/darth/EMQX/clickhouse-haskell-1/src/ClickHouseDriver/Core/Types.hs", "Haskell", 0, 241, 0, 13, 21, 275
"/home/darth/EMQX/clickhouse-haskell-1/src/ClickHouseDriver/IO/BufferedReader.hs", "Haskell", 0, 150, 0, 2, 39, 191
"/home/darth/EMQX/clickhouse-haskell-1/src/ClickHouseDriver/IO/BufferedWriter.hs", "Haskell", 0, 82, 0, 6, 21, 109
"/home/darth/EMQX/clickhouse-haskell-1/src/ClickHouseDriver/Include/varuint.h", "C++", 9, 0, 0, 0, 3, 12
"Total", "-", 9, 2129, 57, 180, 303, 2678
